name,location_str,latitude,longitude,price,rating,cuisine,recommender,date,neighborhood
Il Tinello,16 West 56th St,40.76256,-73.97565999999999,$$$$,4.5,Italian,Stefanie Tuder,2018-11-09,Midtown
Charrua,131 Essex St,40.720040000000004,-73.9876,$$,4.0,Latin American,Robert Sietsema,2018-11-09,Lower East Side
El Quinto Pino,401 West 24th St,40.74743,-74.00124,$$,3.5,Tapas Bars,Carla Vianna,2018-11-09,Chelsea
Empanada Mama,95 Allen St,40.71875631423121,-73.990894515892,$,4.0,Latin American,Patty Diez,2018-11-02,Lower East Side
Misi,329 Kent Ave,40.713409999999996,-73.96661999999999,,4.0,Italian,Daniela Galarza,2018-11-02,Williamsburg
Bunna Cafe,1084 Flushing Ave,40.705042,-73.928078,$$,4.5,Ethiopian,Monica Burton,2018-11-02,Williamsburg
Suede,5610 Clarendon Rd,40.64455,-73.92342,$$,3.5,Caribbean,Robert Sietsema,2018-11-02,East Flatbush
Indikitch,25 West 23rd St,40.742214202880895,-73.9904403686523,$$,4.0,Indian,Sonia Chopra,2018-10-26,Flatiron District
Fifty,50 Commerce St,40.7316062167239,-74.00563235254259,$$$,4.5,Latin American,Robert Sietsema,2018-10-26,West Village
La Vara,268 Clinton St,40.68781,-73.99576,$$$,4.0,Spanish,Carla Vianna,2018-10-26,Cobble Hill
B Cafe East,240 East 75th St,40.770919899999996,-73.95759,$$,4.0,Bars,Daniela Galarza,2018-10-26,Upper East Side
Taiwan Pork Chop House,3 Doyers St,40.714240000000004,-73.99799,$,4.0,Taiwanese,Adam Moussa,2018-10-19,Chinatown
Taste of Samarkand,62-16 Woodhaven Blvd,40.7266223,-73.870707,$$,4.0,Uzbek,Patty Diez,2018-10-19,Middle Village
BòCàPhê,222 Lafayette St,40.7220786,-73.9975506,$$,4.0,Vietnamese,Robert Sietsema,2018-10-12,Little Italy
Excellent Dumpling House,165 West 23rd St,40.744049439635795,-73.995028194335,$$,4.0,Dim Sum,Stefanie Tuder,2018-10-12,Chelsea
the Bund,100-30 Queens Blvd,40.7264404960967,-73.8532474276788,$$,3.5,Shanghainese,Robert Sietsema,2018-10-12,Forest Hills
Michael’s of Marine Park,2929 Ave R,40.6076329987397,-73.9428921973385,$$$,4.5,Italian,Robert Sietsema,2018-10-05,Sheepshead Bay
Burp Castle,41 E 7th St,40.728325219266296,-73.9886448736218,$$,4.0,Pubs,Serena Dai,2018-10-05,East Village
Babbalucci,331 Lenox Ave,40.80894,-73.94496,$$,4.0,Italian,Carla Vianna,2018-10-05,Harlem
Gramercy Tavern,42 East 20th St,40.738527000000005,-73.988417,$$$$,4.5,American (New),Daniela Galarza,2018-09-29,Flatiron District
Zum Stammtisch,69-46 Myrtle Ave,40.70176179999999,-73.88134079999999,$$,4.5,Meat Shops,Robert Sietsema,2018-09-21,Glendale
Saint Austere,613 Grand St,40.7114604,-73.94761820000001,$$,4.5,Tapas Bars,Stefanie Tuder,2018-09-21,Williamsburg
Lamano,39 Christopher St,40.73388,-74.00158,$$,4.0,Tapas Bars,Robert Sietsema,2018-09-21,Greenwich Village
Han Dynasty,1 Dekalb Ave,40.691131961003606,-73.9825977757573,$$,4.0,Chinese,Carla Vianna,2018-09-21,Downtown
Faun,606 Vanderbilt Ave,40.678259999999995,-73.96885,$$$,4.0,Italian,Kayla Kumari Upadhyaya,2018-09-14,Prospect Heights
Clemente’s Maryland Crabhouse,3939 Emmons Ave,40.585104,-73.9262774,$$,3.0,Seafood,Serena Dai,2018-09-07,Sheepshead Bay
Via Carota,51 Grove St,40.7331,-74.00369,$$$,4.0,Italian,Daniela Galarza,2018-09-07,West Village
Silky Kitchen,137 East 13th St,40.73297,-73.98829,$,4.5,Chinese,Robert Sietsema,2018-08-31,Greenwich Village
the Clam,420 Hudson St,40.73030766120021,-74.00680303576391,$$$,4.0,Seafood,Kayla Kumari Upadhyaya,2018-08-31,West Village
Ten Bells,247 Broome St,40.717801,-73.98985,$$,3.5,Wine Bars,Sonia Chopra,2018-08-31,Lower East Side
Grandaisy Bakery,250 West Broadway,40.720020372548,-74.005867765337,$,3.5,Bakeries,Robert Sietsema,2018-08-24,Tribeca
David’s Brisket House and Deli,533 Nostrand Ave,40.679434,-73.949515,$$,4.5,Delis,Robert Sietsema,2018-08-24,Bedford Stuyvesant
Bep Ga,70 Forsyth St,40.717009999999995,-73.99324,$$,4.5,Vietnamese,Robert Sietsema,2018-08-17,Lower East Side
the Holler,348 Franklin Ave,40.687208,-73.957163,$$,4.5,Cocktail Bars,Kayla Kumari Upadhyaya,2018-08-10,Bedford Stuyvesant
Katana Kitten,531 Hudson St,40.73425,-74.00639,,4.0,Cocktail Bars,Robert Sietsema,2018-08-10,West Village
Al di La,248 Fifth Ave,40.675290000000004,-73.98138,,5.0,Coffee & Tea,Serena Dai,2018-08-10,Park Slope
Xing Shun Da,44-18 Kissena Blvd,40.753366425633395,-73.82224492728709,$$,4.0,Chinese,Robert Sietsema,2018-08-03,Flushing
21 Greenpoint,21 Greenpoint Ave,40.72978,-73.95992,$$$,4.0,American (New),Kayla Kumari Upadhyaya,2018-08-03,Greenpoint
Llamita,80 Carmine St,40.7294419,-74.00487,,4.0,Latin American,Robert Sietsema,2018-08-03,Greenwich Village
Parklife,636 Degraw St,40.6789343,-73.983069,$$,3.5,Bars,Kayla Kumari Upadhyaya,2018-08-03,Gowanus
Popina,127 Columbia St,40.687361962701004,-74.0014251909241,$$,4.0,Southern,Monica Burton,2018-07-27,Columbia Street Waterfront District
Do Hwa,55 Carmine St,40.7299,-74.0042,$$,3.5,Korean,Robert Sietsema,2018-07-27,Greenwich Village
Up Stairs,59 Canal St,40.7151141,-73.9920321,$$,3.0,Bars,Serena Dai,2018-07-27,Lower East Side
Haile Bistro,182 Ave B,40.72783,-73.97951,$$,4.0,Ethiopian,Robert Sietsema,2018-07-20,East Village
Salvation Taco,145 East 39th St,40.749309999999994,-73.97664,,3.5,Lounges,Patty Diez,2018-07-20,Murray Hill
Kyma,15 West 18th St,40.73904,-73.99283,,3.5,Greek,Stefanie Tuder,2018-07-20,Flatiron District
Colson Patisserie,374 9th St,40.667755,-73.98397,$$,4.0,Coffee & Tea,Serena Dai,2018-07-20,Park Slope
Barboncino,781 Franklin Ave,40.672090000000004,-73.95730999999999,$$,4.5,Pizza,Kayla Kumari Upadhyaya,2018-07-13,Crown Heights
Seabra’s Marisqueira,87 Madison St,40.72991,-74.16067,$$,3.5,Portuguese,Robert Sietsema,2018-07-13,North Ironbound
Have and Meyer,103 Havemeyer St,40.713268775108396,-73.9564743950496,$$,4.0,Wine Bars,Serena Dai,2018-07-13,Williamsburg
Frost Restaurant,193 Frost St,40.7183867,-73.94349059999999,$$,4.0,Italian,Robert Sietsema,2018-07-06,Williamsburg
Diamond Reef,1057 Atlantic Ave,40.6796758019517,-73.9566367333384,$$,4.0,Cocktail Bars,Kayla Kumari Upadhyaya,2018-07-06,Bedford Stuyvesant
Paulie Gee’s,60 Greenpoint Ave,40.729546,-73.958568,$$,4.5,Pizza,Sonia Chopra,2018-07-06,Greenpoint
Pearl Oyster Bar,18 Cornelia St,40.731409899999996,-74.00197,$$$,4.0,Seafood,Robert Sietsema,2018-06-29,Greenwich Village
Miss Lily’s,132 West Houston St,40.7279368007065,-74.00155956078079,$$,3.5,Caribbean,Stefanie Tuder,2018-06-29,Greenwich Village
Chez Ma Tante,90 Calyer St,40.726896610895096,-73.9574290439961,$$,4.5,American (Traditional),Serena Dai,2018-06-29,Greenpoint
Nickel and Diner,1 Howard St,40.71893129233229,-73.99945246916191,$$,4.0,American (New),Serena Dai,2018-06-29,Chinatown
Brooklyn Ball Factory,95 Montrose Ave,40.707233802794796,-73.94586617790969,$$,4.5,Cafes,Daniela Galarza,2018-06-22,Williamsburg
Bonnie Vee,17 Stanton St,40.722401,-73.992149,$$,4.0,Cocktail Bars,Stefanie Tuder,2018-06-22,Lower East Side
Mustang Thakali Kitchen,74-14 37th Ave,40.748941884406705,-73.8914922910723,$$,4.0,Himalayan/Nepalese,Robert Sietsema,2018-06-22,Jackson Heights
Corazon de Mexico,10-09 50th Ave,40.74281,-73.95348,$$,3.0,Mexican,Robert Sietsema,2018-06-15,Hunters Point
Omen Azen,113 Thompson St,40.726,-74.00196,$$$,3.5,Japanese,Robert Sietsema,2018-06-08,SoHo
Gueros,605 Prospect Pl,40.67521,-73.95657,$,4.0,Tex-Mex,Kayla Kumari Upadhyaya,2018-06-08,Crown Heights
Liebman’s,552 West 235th St,40.88548,-73.90951,$$,4.0,Delis,Robert Sietsema,2018-06-08,Spuyten Duyvil
Wallflower,235 West 12th St,40.7377405,-74.0021002,$$$,4.0,American (New),Robert Sietsema,2018-06-01,West Village
Sunshine Co.,780 Washington Ave,40.674603499999996,-73.96316440000001,$$,4.0,American (New),Kayla Kumari Upadhyaya,2018-06-01,Crown Heights
Veniero’s,342 E 11th St,40.729409999999994,-73.98454,$$,4.0,Bakeries,Robert Sietsema,2018-05-25,East Village
Bohemian Hall and Beer Garden,2919 24th Ave,40.772729999999996,-73.915772,$$,4.0,Beer Gardens,Robert Sietsema,2018-05-25,Astoria
La Newyorkina,240 Sullivan St,40.72994,-73.99959,$,4.5,Ice Cream & Frozen Yogurt,Daniela Galarza,2018-05-18,Greenwich Village
Noodle Village,13 Mott St,40.714166999999996,-73.99880300000001,$,4.0,Chinese,Stefanie Tuder,2018-05-18,Chinatown
Surya,154 Bleecker St,40.7281,-73.99963000000001,$$,4.0,Indian,Robert Sietsema,2018-05-18,Greenwich Village
Old Tbilisi Garden,174 Bleecker St,40.728770700000005,-74.0008161,$$,4.0,Modern European,Robert Sietsema,2018-05-04,Greenwich Village
Scampi,30 West 18th St,40.739020000000004,-73.99358000000001,$$$,4.0,Italian,Stefanie Tuder,2018-05-04,Flatiron District
Sea Witch,703 5th Ave,40.66082,-73.993538,$$,4.0,Lounges,Kayla Kumari Upadhyaya,2018-05-04,Greenwood
Takahachi,85 Ave A,40.725315,-73.984436,$$,4.0,Sushi Bars,Robert Sietsema,2018-05-04,East Village
Peaches Hot House,415 Tompkins Ave,40.6833699737169,-73.9437798410654,$$,4.0,Southern,Kayla Kumari Upadhyaya,2018-05-04,Bedford Stuyvesant
La Morada,308 Willis Ave,40.810552,-73.92142,$$,4.5,Mexican,Robert Sietsema,2018-04-27,Mott Haven
Terroir,24 Harrison St,40.718804998517,-74.0099987815497,$$,4.0,Wine Bars,Serena Dai,2018-04-27,Tribeca
Tacombi,267 Elizabeth St,40.724030400000004,-73.99390279999999,$$,3.5,Mexican,Stefanie Tuder,2018-04-27,Little Italy
Pheasant,445 Graham Ave,40.7185,-73.9452,$$$,4.5,Mediterranean,Robert Sietsema,2018-04-27,Williamsburg
Shuka,38 Macdougal St,40.72707,-74.00283,$$,4.0,Mediterranean,Stefanie Tuder,2018-04-20,SoHo
Killmeyer’s Old Bavaria Inn,4254 Arthur Kill Rd,40.538469899999996,-74.23721,$$,3.5,German,Robert Sietsema,2018-04-13,Charleston
Ping’s,22 Mott St,40.714442,-73.998636,$$,3.5,Seafood,Robert Sietsema,2018-04-13,Chinatown
Via Carota,51 Grove St,40.7331,-74.00369,$$$,4.0,Italian,Stefanie Tuder,2018-04-13,West Village
La Superior,295 Berry St,40.713570000000004,-73.96363000000001,$$,3.5,Mexican,Kayla Kumari Upadhyaya,2018-03-30,Williamsburg
Mercato,352 West 39th St,40.756190000000004,-73.9937,$$,4.0,Italian,Stefanie Tuder,2018-03-30,Clinton
The Well,272 Meserole St,40.7084722,-73.93787440000001,$$,4.0,Beer Gardens,Serena Dai,2018-03-30,Williamsburg
Chez Ma Tante,90 Calyer St,40.726896610895096,-73.9574290439961,$$,4.5,American (Traditional),Robert Sietsema,2018-03-23,Greenpoint
The Islands,671 Washington Ave,40.677052379474894,-73.9634169638157,$$,4.5,Caribbean,Kayla Kumari Upadhyaya,2018-03-16,Crown Heights
